Id,Gender,avg(Age),avg(AvgTime)
0,M,52.0000,14024.000000000
1,M,36.8571,16297.142857142
2,M,42.4000,11975.200000000
3,M,16.0000,15360.000000000
4,F,32.0000,17396.000000000
6,F,27.0000,15369.000000000
7,M,33.0000,18511.500000000
8,F,32.0000,21660.000000000
9,F,37.0000,17951.000000000
10,M,37.0000,15891.000000000
11,M,34.5000,16885.500000000
12,M,47.0000,18248.000000000
13,M,52.0000,15291.000000000
14,F,27.0000,18147.000000000
15,M,47.0000,12154.000000000
16,F,32.0000,14108.000000000
17,M,35.5000,16552.500000000
18,M,28.1667,16986.500000000
20,M,42.0000,20917.000000000
21,M,52.0000,16367.000000000
22,F,26.0000,16425.333333333
23,F,36.0000,17619.666666666
24,M,42.0000,15895.000000000
25,F,52.0000,17360.000000000
26,M,47.0000,20803.000000000
27,M,47.0000,13884.000000000
28,M,42.0000,12640.000000000
29,M,47.0000,16082.000000000
30,F,32.0000,23989.000000000
31,M,21.0000,12759.000000000
33,M,42.0000,23482.000000000
34,M,37.0000,15758.142857142
35,M,42.0000,21982.000000000
36,M,42.0000,21600.000000000
37,M,32.0000,17176.000000000
38,M,42.0000,14679.000000000
39,F,42.0000,20691.000000000
40,M,32.0000,18164.000000000
41,M,32.0000,15890.000000000
42,M,42.0000,16010.000000000
43,M,27.0000,13555.000000000
44,M,47.0000,17733.000000000
45,M,47.0000,15693.000000000
46,F,52.0000,19104.000000000
47,F,32.0000,15501.000000000
48,M,62.0000,15810.000000000
49,M,42.0000,16264.000000000
50,M,47.0000,24831.000000000
51,F,27.0000,19195.000000000
52,M,27.0000,11751.500000000
53,M,32.0000,16228.714285714
54,F,37.0000,23653.000000000
55,F,32.0000,24623.000000000
56,M,27.0000,12347.000000000
57,M,32.0000,13555.000000000
58,F,27.0000,16371.000000000
59,M,25.5000,14141.500000000
60,M,32.0000,13564.000000000
61,M,27.0000,13747.666666666
62,M,42.0000,19353.000000000
63,F,32.0000,17404.000000000
64,M,37.0000,12906.000000000
