time_in_2012,time_in_2013,time_in_2014,time_in_2015,AGE,GENDER,id
13280,14523,13186,14024,52,1,0
13045,14930,19757,10709,39,1,1
12800,11986,12219,11435,42,1,2
15164,14938,14094,15360,16,1,3
16828,16632,17396,17491,32,-1,4
16251,15685,16458,15600,13,1,5
14873,15369,15484,14500,27,-1,6
19616,19154,18307,18511,34,1,7
22041,22319,21556,21660,32,-1,8
18414,18028,17913,17951,37,-1,9
17036,17406,16267,15891,37,1,10
12171,27073,23654,21600,24,1,11
18044,18865,18248,18251,47,1,12
14729,15291,15279,15728,52,1,13
19326,19759,18147,19504,27,-1,14
12473,13276,12412,12154,47,1,15
13478,14108,12739,12907,32,-1,16
16740,18568,15695,16183,34,1,17
14998,15696,20708,16334,29,-1,18
29018,29027,29235,30004,42,-1,19
20627,20604,19866,20917,42,1,20
16331,16367,16714,16821,52,1,21
18284,13838,21600,17753,27,-1,22
18356,15540,18520,17622,36,-1,23
16570,15838,15529,15895,42,1,24
16395,15874,15074,15870,53,-1,25
21188,20315,21087,20803,47,1,26
14707,13397,13228,13884,47,1,27
12640,13313,13777,13936,42,1,28
15448,16390,16082,15525,47,1,29
23633,23745,24100,23989,32,-1,30
13664,14218,14506,12759,21,1,31
13495,13944,12780,13104,56,-1,32
22714,24287,23482,24555,42,1,33
15355,16515,13467,17260,37,1,34
22107,23135,21950,21982,42,1,35
20632,21987,21651,21600,42,1,36
16260,16977,17143,17176,32,1,37
16731,16605,16152,15834,41,1,38
19581,20875,21347,20691,42,-1,39
12648,17486,21600,21600,32,1,40
15890,16345,15115,16544,32,1,41
15126,16589,16010,15340,42,1,42
12923,12403,13555,13053,27,1,43
17792,17733,16734,18296,47,1,44
16228,16855,17039,15693,47,1,45
16071,16548,16859,16810,53,-1,46
16216,15752,14641,15501,32,-1,47
14099,13913,14829,13248,64,1,48
15502,15423,14943,16264,42,1,49
25014,26049,24700,24831,47,1,50
19372,18311,18357,19195,27,-1,51
16206,11840,14474,14200,27,1,52
13448,15130,17422,15133,32,1,53
23009,23093,23852,23653,37,-1,54
24279,25440,24623,25695,32,-1,55
12710,12347,11996,12944,27,1,56
12653,14157,14384,13555,32,1,57
16057,15956,16371,16034,27,-1,58
14954,15722,14141,14345,26,1,59
13564,12916,13559,14275,32,1,60
13871,13625,13747,13685,27,1,61
20056,19602,19122,19353,42,1,62
17344,16460,17322,17404,32,-1,63
13690,12887,12122,12916,36,1,64
13964,14119,13524,13445,48,1,65
12462,17207,12428,12897,48,1,66
14385,14822,14558,13942,21,-1,67
17666,18656,18526,19011,47,1,68
12775,12547,12439,13252,16,1,69
13116,13296,12514,14232,27,1,70
18065,17865,18533,17256,42,1,71
16941,16420,17201,16999,36,-1,72
13203,14448,13873,13667,42,1,73
22198,22182,21683,21265,27,1,74
11643,11014,11194,12745,36,1,75
17280,16423,16979,16472,19,-1,76
13600,13734,14213,14104,54,-1,77
15702,16699,15218,16110,37,-1,78
20119,19017,20944,20291,52,1,79
26584,26115,25714,27510,52,-1,80
18829,16243,21600,18840,32,1,81
16508,17100,17382,17063,52,1,82
16667,15150,15674,16229,42,1,83
14228,13497,14749,14080,27,-1,84
16067,16849,16637,15695,54,1,85
25395,26537,25969,26516,32,1,86
18035,19364,19035,18359,36,-1,87
30628,30748,29651,30319,37,-1,88
17292,16813,16380,16543,32,1,89
13509,13956,13367,12882,42,1,90
16310,16065,16233,16164,42,1,91
16343,16195,17088,16024,47,1,92
12046,17434,21600,17955,54,1,93
19143,19123,19823,19690,42,-1,94
18593,17742,18100,19135,35,-1,95
16498,17741,19460,21341,53,1,96
23221,24879,24315,23034,37,1,97
17135,16267,17792,17389,42,1,98
21785,22398,20856,20630,36,1,99
16546,17612,17927,16933,45,-1,100
16250,16734,15557,15018,21,1,101
18130,17873,18456,17841,47,1,102
19471,13488,18126,21600,33,1,103
15339,14638,17960,14963,46,-1,104
15437,14779,21767,16185,25,-1,105
15821,16145,18251,17546,22,-1,106
14506,14715,14548,15248,47,1,107
14365,14927,13876,13879,27,1,108
14991,13263,13483,13912,52,1,109
13574,14065,14814,14736,21,1,110
13663,13260,13904,13181,32,-1,111
28409,29089,28059,27808,27,-1,112
18695,17849,19134,17784,37,1,113
14255,14167,21600,21600,46,1,114
19129,19303,18378,19913,37,1,115
15112,15338,15470,16079,57,-1,116
20174,19261,18965,20450,41,1,117
17604,19053,17704,18124,21,-1,118
13459,13494,13803,12816,52,1,119
24317,23110,23828,22755,34,-1,120
15166,15983,19785,17293,30,1,121
21600,14132,17279,13476,28,1,122
16088,16434,17276,15591,47,-1,123
18392,18938,17899,18235,46,-1,124
11940,13008,13191,12950,36,1,125
14919,14530,14867,15583,32,1,126
16460,15712,16794,16619,57,1,127
14517,15812,16041,14278,20,-1,128
14242,15087,15808,18121,46,1,129
12437,11585,11359,10793,32,1,130
15301,15975,16607,15509,32,1,131
18294,16452,15391,16755,54,-1,132
14904,13991,15590,15789,27,1,133
13235,13921,13891,12962,52,1,134
15139,15171,14358,14726,27,1,135
25918,26456,26087,25153,13,1,136
14195,18334,17427,16609,35,1,137
20376,19740,19988,21384,42,1,138
18375,18239,17415,19191,62,1,139
14879,14903,17002,16381,38,-1,140
16489,16065,15295,16636,46,1,141
19690,18634,19958,19239,36,-1,142
13288,13755,13369,13760,21,1,143
17514,17615,18895,18560,37,1,144
13350,16839,15194,14469,33,1,145
14421,15248,14496,15273,27,1,146
14922,14075,14043,14753,21,1,147
17211,14645,19890,17874,49,1,148
10743,10463,10714,10472,42,1,149
20871,20450,20046,20049,52,1,150
13730,14724,13438,14884,21,1,151
12982,14061,12778,13116,21,-1,152
20655,19990,20422,21600,46,1,153
20942,20996,20240,21650,34,1,154
15395,16049,15125,15521,27,1,155
17984,18326,17318,17295,44,-1,156
11834,14318,14139,12379,46,1,157
20907,21114,19425,19748,34,1,158
21971,21364,20829,22141,27,1,159
8323,8738,7882,8831,32,1,160
14814,15137,14970,14217,27,-1,161
17089,15949,19129,21832,36,-1,162
21490,22254,20607,21600,42,1,163
17934,17029,17821,17393,52,1,164
15622,16902,16424,15526,32,1,165
13376,13430,14768,14532,42,1,166
24416,24740,23355,25167,62,-1,167
16088,17701,20394,16889,44,1,168
14346,13593,13339,13768,27,1,169
13322,14760,13630,14745,33,1,170
15694,14560,14139,14305,52,1,171
11898,10694,11689,10759,35,1,172
16992,17731,17448,17587,42,1,173
23177,22593,24302,24045,47,-1,174
22300,22634,22166,23328,27,1,175
16710,15481,16622,14565,40,1,176
17236,17139,17378,18006,27,-1,177
18994,18720,18600,19714,32,1,178
16631,16242,15387,16630,13,-1,179
15809,15936,16614,14734,32,1,180
14644,13687,16097,13679,38,1,181
15602,15886,15475,14905,52,-1,182
20621,21255,20160,21789,67,1,183
16656,17311,16068,16369,27,1,184
15044,16504,16238,17713,43,-1,185
13464,15165,16253,15865,37,1,186
15752,21600,17966,18962,46,1,187
21992,22803,22839,22544,21,1,188
15108,16050,17568,21600,52,-1,189
13619,12162,13643,12465,34,-1,190
21236,21733,20837,22237,42,1,191
18053,18900,16830,21600,43,1,192
18234,16337,18555,19333,39,1,193
12844,13527,12209,13479,26,1,194
18916,18765,19996,19058,21,1,195
18712,19124,18247,19091,42,1,196
14383,18106,18213,17069,37,1,197
14959,18966,17341,20414,41,-1,198
15637,15578,16532,15913,47,-1,199
17614,16229,16543,16549,42,1,200
23953,23500,22739,23068,47,1,201
14456,14104,16128,15526,55,1,202
11665,11309,12295,14290,26,1,203
21021,22572,21250,22041,42,1,204
14606,16402,11465,13761,44,1,205
15513,14990,16040,15973,54,-1,206
16085,16590,18916,21600,45,1,207
13047,12857,14019,14178,37,1,208
24373,25708,24848,25329,42,-1,209
14236,15216,13760,14402,36,-1,210
22791,23745,22402,22861,21,-1,211
14436,13600,15184,13384,44,1,212
18414,16785,17789,17537,32,1,213
14295,18447,16347,16972,23,-1,214
15215,17396,17624,19869,50,-1,215
22660,23478,22830,21913,21,1,216
16492,15957,16922,19699,32,1,217
21332,21526,20255,21904,37,-1,218
16370,14656,14427,15171,37,-1,219
17615,18968,18619,17234,27,-1,220
20060,18548,17574,22886,38,1,221
16959,15487,16312,15566,37,1,222
12190,11663,12159,10986,32,1,223
13814,12704,16822,10736,42,1,224
16667,17084,17254,16879,47,-1,225
19916,19780,20051,19693,47,1,226
16337,16366,17041,16114,36,-1,227
18324,17933,18837,17666,27,1,228
15557,15296,17420,16622,35,1,229
16733,18123,16404,17315,27,1,230
13007,11995,13432,13624,18,1,231
10514,11344,11331,11660,21,1,232
16779,16757,16791,17970,42,1,233
18571,18513,18302,18943,16,1,234
22181,22349,22706,22415,27,-1,235
16984,16042,16702,17426,43,-1,236
20066,19314,22043,20747,47,1,237
17888,18098,17641,17015,52,1,238
16913,17290,17338,17883,42,1,239
13180,14130,12683,12381,36,-1,240
15107,16019,15397,14629,32,1,241
16611,15825,16575,17034,52,1,242
12913,12405,11857,11203,52,1,243
17651,17579,17074,16282,37,1,244
16374,15904,15142,15879,21,1,245
13800,13538,13025,13939,25,-1,246
13360,12874,15994,13156,36,1,247
15386,16357,16678,16530,44,-1,248
14175,15479,17991,21600,27,-1,249
14648,13733,15580,15134,27,-1,250
22341,21974,21482,22167,52,1,251
16265,15264,15983,16402,42,-1,252
14540,13869,14946,14195,47,1,253
17539,17529,18003,17506,32,1,254
19246,18773,19844,18919,21,1,255
18613,17839,19414,18590,42,1,256
16438,15763,14669,14795,44,-1,257
11716,14534,11645,13997,51,1,258
13736,14757,14944,16361,43,1,259
18784,19852,16978,18667,22,1,260
21433,21308,21998,22483,52,-1,261
18425,18413,17132,17428,47,1,262
17412,18460,17506,18587,21,1,263
18675,19256,18392,17804,32,1,264
15261,15281,15458,14515,37,1,265
16440,15814,17219,15381,62,1,266
22085,21600,21648,22660,42,1,267
22514,21655,21757,21443,16,1,268
12346,13274,13722,12640,27,1,269
14910,17667,14931,15450,45,1,270
27575,27628,27073,28333,32,1,271
14477,13868,13207,13388,34,1,272
17894,18044,18120,17357,61,1,273
14531,14031,14912,14666,19,1,274
13597,21600,18561,18938,62,1,275
18640,19274,17663,17985,52,-1,276
17490,19117,18448,18346,52,1,277
11394,11229,11295,11888,37,1,278
11020,11036,10844,11820,42,1,279
16134,15640,15199,15203,51,1,280
16184,15540,15440,15737,32,1,281
12778,21600,13194,16708,37,1,282
17780,18787,17210,18052,21,1,283
16834,14957,14849,17856,35,-1,284
19662,19326,18477,18773,52,1,285
13142,16839,21600,16149,57,1,286
13388,12027,12941,12651,42,1,287
12818,12048,12355,11693,37,1,288
21991,20947,21600,20822,37,1,289
15915,15288,16810,17053,57,1,290
16489,15001,14586,16807,47,1,291
17358,18145,16378,16751,62,1,292
16471,15829,15686,15879,21,1,293
18147,17518,17456,18888,52,1,294
17965,17501,19033,17536,32,-1,295
13684,14524,15135,14684,43,1,296
19399,18549,19360,19775,27,1,297
16556,15704,14870,15777,37,1,298
17370,18574,19105,18790,53,-1,299
21707,21941,21056,21170,27,1,300
17994,18008,16985,18195,32,-1,301
16839,17912,18529,15973,26,1,302
17084,16201,17009,16331,54,1,303
20032,18785,19319,18412,27,1,304
14887,15374,15987,15621,21,1,305
17286,17967,17598,16603,37,1,306
13810,13460,14558,14891,21,1,307
16963,16988,17925,16600,37,1,308
15715,15819,16401,15170,37,1,309
17110,14542,14804,15065,21,-1,310
28044,26764,26135,27073,13,1,311
15413,16092,16161,15760,27,-1,312
22822,22550,22725,22291,42,1,313
10615,10409,10621,11495,42,1,314
13028,21600,17533,13110,28,1,315
15686,17512,18148,19715,40,1,316
16534,16345,15777,16269,39,-1,317
17563,17269,18490,17252,37,1,318
12472,16880,13961,12342,43,1,319
15723,15133,16477,15292,37,1,320
13354,12686,12990,13839,43,1,321
16180,15357,19312,17603,36,1,322
11861,14209,15239,15211,35,1,323
19243,20680,18889,19823,21,-1,324
18270,17763,18345,18257,37,1,325
21536,21139,21306,21479,42,1,326
18999,21600,18730,20231,36,-1,327
19063,17249,19799,17593,32,1,328
15780,16703,16336,17368,37,1,329
18064,18268,17421,17187,21,1,330
14088,12304,12768,15232,24,1,331
15757,16216,17984,17985,44,-1,332
12169,11011,11385,11544,32,1,333
12535,13853,13817,13526,37,1,334
14252,14384,16226,18218,41,1,335
21194,17451,18434,20113,47,1,336
11792,12270,11173,11959,42,1,337
14841,14733,14439,15609,57,1,338
14960,14124,14976,15632,32,1,339
18220,18296,17867,17593,27,1,340
13055,13510,13907,13744,37,-1,341
16977,13559,13785,21600,57,1,342
11902,11821,11823,10790,26,1,343
15321,15639,15815,16508,35,1,344
14544,12493,15261,14023,29,-1,345
17689,17659,18697,17682,27,1,346
17096,17536,16992,17765,49,1,347
20043,14951,24759,18094,21,-1,348
13920,15043,15085,16836,34,1,349
13440,13280,14073,13664,37,1,350
16469,15631,16434,16625,27,1,351
15585,15014,15608,14392,37,1,352
23637,20674,20237,27519,23,-1,353
13862,14294,13221,14747,57,1,354
14814,14074,14091,17819,45,1,355
17463,18029,16840,17465,37,1,356
14045,18464,22895,19171,36,1,357
13278,12790,13579,13035,56,1,358
13902,13443,12856,13407,37,1,359
18145,18021,17698,17576,32,1,360
17602,16361,17732,16669,32,1,361
17371,16661,15830,16476,27,1,362
15666,16119,15110,16700,37,-1,363
13721,17706,13420,15490,36,-1,364
25082,25105,24901,24507,21,1,365
34751,33217,33271,33772,47,-1,366
12978,21600,17051,16941,32,1,367
16962,16108,16265,17200,42,1,368
14008,15013,14690,14352,32,1,369
18621,17161,17718,17111,37,1,370
14426,14058,13453,13580,44,1,371
16067,19347,22804,20383,37,-1,372
19380,19112,19331,19301,57,-1,373
13935,14064,12687,12920,44,1,374
16033,14887,15082,15262,34,1,375
13217,12602,12256,12900,27,1,376
12750,12285,12293,12585,62,1,377
18751,19927,18821,18370,32,1,378
19021,15699,16681,21482,56,1,379
24245,23435,23696,23626,32,1,380
16231,14691,14784,15092,36,1,381
18801,19095,19077,19577,47,1,382
19778,17923,20586,21600,29,-1,383
9887,10479,11505,10653,50,1,384
19766,17588,19991,19544,54,1,385
17219,17748,16816,16148,21,1,386
15320,13397,16767,18047,46,1,387
19157,18584,19831,19531,46,1,388
18132,18963,18260,17617,27,1,389
15984,16459,16408,16468,42,1,390
21354,21638,22571,21600,32,1,391
12940,13392,11715,12251,37,1,392
13056,13045,13711,13914,44,-1,393
11845,11500,13053,14402,61,1,394
26122,27043,26291,25591,42,-1,395
11388,12387,10762,11968,47,1,396
14183,13951,14019,14943,42,-1,397
13350,13618,12857,12685,22,1,398
17998,17845,17216,17713,32,-1,399
21792,22467,21609,21157,52,1,400
17216,16900,17652,17421,16,-1,401
9962,10223,10369,10740,26,1,402
16339,16170,16858,16058,36,1,403
12227,12942,14098,12957,42,1,404
16131,14801,15501,16232,21,1,405
20901,20943,20728,21613,37,1,406
14565,14896,14470,15198,37,1,407
16402,15938,16585,16361,42,1,408
26699,23819,30579,26114,27,1,409
12897,12810,12460,16613,27,1,410
15647,15750,14625,15640,44,1,411
15616,15984,18689,15151,46,-1,412
22140,22737,23580,23156,42,1,413
13887,12598,14056,14355,47,1,414
12032,21600,11879,12197,50,1,415
16948,15350,16712,14959,51,1,416
14758,14748,15850,14128,27,1,417
13702,13090,14453,13256,32,1,418
13366,15514,12206,21600,31,1,419
14001,15586,18896,16984,43,1,420
16345,18057,18394,17078,52,1,421
14098,14378,13060,14038,32,1,422
14290,21600,19138,17994,57,1,423
14540,13783,18511,14501,26,-1,424
13644,14920,17786,19623,60,1,425
20699,20402,20039,20010,33,-1,426
13755,12540,12515,13370,14,1,427
13604,17657,15598,15559,46,1,428
18409,18697,18684,19049,47,-1,429
14277,15059,13942,14410,37,1,430
15292,15621,14562,13982,27,-1,431
15111,15627,18865,17291,35,-1,432
12579,11936,12498,11357,27,-1,433
14299,13184,13154,12967,39,-1,434
14953,15273,15949,14380,47,1,435
15234,15248,14893,14857,57,1,436
12210,13220,12531,12167,42,1,437
14382,14160,14251,13358,36,-1,438
18016,17754,18642,18804,17,-1,439
24076,23205,23831,23294,57,-1,440
20944,22287,21600,21096,21,1,441
12428,17174,15387,21600,56,1,442
11582,13549,11459,12487,35,1,443
15566,15494,14747,14485,47,1,444
14170,13885,14329,14050,32,1,445
20245,21171,21745,20065,52,1,446
17037,16775,17449,18044,0,0,447
14955,14328,14425,15013,47,1,448
12930,19341,14949,15564,30,1,449
21330,21600,20915,22408,47,1,450
12546,13688,13258,13579,21,1,451
14751,15233,16075,14959,21,-1,452
17361,16669,17781,17264,27,-1,453
13040,13023,11926,12913,37,1,454
18912,18475,17920,21600,42,1,455
10901,10955,11398,13002,33,1,456
15266,15891,15368,15031,32,-1,457
28600,28567,28750,28547,67,1,458
13686,13306,13902,13625,32,-1,459
15572,16628,15164,16145,42,1,460
14088,12158,37979,15187,51,1,461
15591,15187,14473,15011,42,-1,462
17870,16678,20233,18341,44,-1,463
11037,11182,11815,10416,42,1,464
16044,15499,15389,14886,27,-1,465
13204,13624,14519,13368,32,-1,466
12928,12183,12791,11891,37,1,467
15695,14256,15332,14466,47,1,468
10844,11569,12113,11560,26,1,469
15850,14570,15319,15715,57,1,470
16505,15976,16517,17055,42,1,471
13554,12895,13397,12152,37,1,472
14873,14426,14197,14601,27,1,473
16048,17612,16682,16901,61,1,474
14564,15655,13454,15452,56,1,475
13571,14836,17670,16542,56,1,476
13652,13926,12695,12574,46,1,477
16107,15657,15893,16838,37,1,478
13284,13364,11977,12559,37,1,479
15773,15974,16763,17299,42,1,480
14445,15970,14697,14983,49,1,481
12138,11652,16557,13858,37,1,482
13807,17537,13499,13508,34,1,483
14937,13854,13285,13407,27,1,484
20643,21579,21731,20486,32,-1,485
14394,10782,21600,14694,33,1,486
13759,14751,14706,15329,50,-1,487
13527,13543,13007,14191,32,1,488
14988,16855,15811,15262,44,1,489
10169,10064,9770,9925,32,1,490
19299,20032,18425,19192,32,1,491
12156,13186,12792,13706,37,1,492
15132,16171,15712,15416,32,-1,493
17985,18249,18400,18311,47,1,494
15133,21600,17508,17576,37,1,495
12368,11190,11270,12245,54,1,496
13012,12091,11789,12892,42,-1,497
11760,12721,12188,11945,21,1,498
22967,22538,21956,23658,32,-1,499
14525,14844,21600,17760,36,-1,500
13468,13084,12612,12514,37,1,501
14493,15054,15334,14274,26,-1,502
18235,20385,23344,21507,34,1,503
17639,16866,17638,16626,42,-1,504
15080,14846,13861,14221,47,-1,505
15209,16099,14550,15455,52,-1,506
17195,14932,19125,16962,32,-1,507
11750,12533,12660,12262,47,1,508
16447,15531,17224,16711,32,1,509
16391,21600,15371,13270,51,1,510
13239,13037,14114,14151,47,1,511
18615,18897,18725,19168,42,1,512
13087,12352,13526,13685,37,1,513
16537,16720,18189,15813,37,1,514
14800,16412,15624,18241,48,1,515
12219,12781,11582,12707,42,1,516
11639,21600,14825,15221,43,1,517
15305,16579,16522,15527,54,1,518
15528,16279,16225,14753,37,1,519
13696,13359,13465,14750,21,1,520
20797,18764,21600,21600,27,1,521
20394,20371,20264,20129,47,-1,522
16426,15703,16401,15218,37,1,523
15418,15469,14905,16452,37,1,524
16578,15407,15804,16225,27,1,525
12127,12323,10820,11318,34,1,526
21662,21081,21716,22489,42,-1,527
14533,13612,13961,14027,37,1,528
10443,10593,11711,11428,36,1,529
13056,13176,12674,13191,24,1,530
19265,17672,19956,19201,47,1,531
22064,21562,21749,21541,42,-1,532
14033,13019,13280,14101,62,1,533
15794,15884,16156,15569,21,1,534
18490,16993,16598,17625,37,-1,535
18196,18051,14622,21349,39,-1,536
17940,18361,17103,18044,21,1,537
18971,18019,17695,19259,52,1,538
14706,13117,14153,13589,36,1,539
15672,15448,16431,16144,34,-1,540
13844,12761,12316,13756,57,1,541
22829,22179,22134,23153,47,-1,542
14191,13778,15417,11956,37,1,543
13531,14823,14038,14337,42,-1,544
16799,16538,16146,16198,52,1,545
24723,25181,24526,25303,27,1,546
16293,16831,16586,17175,21,-1,547
12556,12861,13705,13389,24,1,548
14681,14922,14666,15769,55,1,549
18507,16801,17464,16888,27,-1,550
12768,15133,11881,11233,37,-1,551
12814,12905,12044,12071,57,1,552
19204,18558,18953,18909,21,1,553
14100,14367,13112,12683,42,1,554
14668,13221,14321,13717,44,1,555
19157,17963,17534,18026,42,1,556
13774,18429,16440,15942,36,-1,557
20293,19510,23728,16856,47,1,558
20506,20159,19657,19711,46,-1,559
14771,14954,14462,15007,37,1,560
17478,19069,18666,17624,21,1,561
19387,20812,20347,19028,37,1,562
14519,13822,13678,13460,32,1,563
12068,12298,11349,13096,27,1,564
18224,17545,17009,18019,52,1,565
30414,30859,31561,30726,13,1,566
18402,18004,18679,17217,21,1,567
17761,18353,17180,16964,52,-1,568
14380,14876,14715,14165,21,1,569
19617,19502,18646,19358,21,1,570
14868,15192,14970,14270,27,1,571
16827,16411,15825,16625,32,1,572
18567,17346,17461,17942,46,1,573
15452,15784,15098,15542,29,1,574
12877,12019,12522,12578,42,1,575
20051,20535,19690,21197,27,1,576
16061,16208,13793,15504,53,1,577
16454,16308,17292,16514,32,1,578
22411,21600,20859,21806,47,1,579
12560,12630,11726,13384,56,1,580
16902,13812,17657,21600,37,1,581
18341,18076,17956,18561,32,1,582
19054,17359,18017,17367,42,1,583
15323,14648,14169,15585,32,1,584
12969,13158,14284,13333,57,1,585
18185,20840,17857,17016,30,-1,586
15081,14720,15970,16223,37,1,587
16585,17689,20190,18305,29,-1,588
15445,15250,19144,18171,38,1,589
11630,11141,13871,11720,18,1,590
15104,14142,13902,14285,23,1,591
18163,14370,16728,21600,48,-1,592
15033,14639,17081,11812,26,1,593
11720,11605,10570,12043,46,1,594
13095,14194,13096,13421,37,1,595
14470,14424,13925,13805,37,-1,596
16585,16396,16050,15165,27,1,597
21061,20840,21152,20676,42,1,598
15236,15254,15258,15800,47,-1,599
13574,13110,12077,12241,44,1,600
15664,15009,15216,17707,34,-1,601
17016,16300,16224,17092,37,-1,602
14537,15732,14438,16029,35,1,603
23422,23261,24496,24608,27,1,604
29062,29522,28859,29584,47,-1,605
14728,15642,21600,21600,37,-1,606
15744,15138,15350,15956,27,1,607
19562,18828,19027,18611,52,-1,608
14127,13226,13600,14544,36,1,609
14075,13496,14762,13935,40,1,610
14541,14446,14734,15276,42,1,611
15401,15460,15131,14958,47,1,612
16489,16156,15052,16858,36,1,613
18623,17899,17283,17992,21,1,614
20957,16086,21600,21600,45,1,615
20021,20314,19780,20639,37,1,616
24137,23951,22878,23404,42,1,617
12861,14220,13414,14037,46,1,618
16300,16143,17054,15575,27,-1,619
14323,14768,13716,13481,57,1,620
17927,17606,17094,17538,54,-1,621
20230,20987,21170,21716,37,1,622
12432,13705,13854,13316,21,1,623
12511,12767,13480,12547,35,1,624
12209,13018,13302,13105,32,1,625
17264,17892,17414,18528,37,1,626
23153,22616,22136,22248,52,-1,627
15266,14562,19622,17102,30,-1,628
10581,11503,10296,11978,26,1,629
14751,14104,13832,15121,44,1,630
21037,21805,22167,21287,16,-1,631
12099,11224,11027,11713,44,1,632
22649,22766,22068,21582,42,1,633
13859,13981,12982,13877,38,1,634
15807,18063,18538,19941,52,1,635
14948,13796,13434,13457,32,-1,636
11939,13136,11507,12154,47,1,637
12271,15917,14665,12869,45,1,638
14071,13601,14656,13288,41,1,639
36480,37031,35858,36261,62,1,640
13422,13720,13156,14012,42,1,641
14737,14287,15043,15072,31,1,642
26880,26713,27386,25821,47,1,643
15432,14376,14411,14913,52,1,644
16202,18168,15492,16637,34,1,645
19173,18089,18823,18450,27,-1,646
18831,17920,18686,18326,42,1,647
10231,11940,11407,11647,27,1,648
14886,16786,18799,18498,32,1,649
14508,21600,18437,19360,27,1,650
