time_in_2012,time_in_2013,time_in_2014,AGE,GENDER
13280,14523,13186,52,1
12800,11986,12219,42,1
15164,14938,14094,16,1
19616,19154,18307,34,1
22041,22319,21556,32,-1
18414,18028,17913,37,-1
17036,17406,16267,37,1
12473,13276,12412,47,1
20627,20604,19866,42,1
16570,15838,15529,42,1
16395,15874,15074,53,-1
21188,20315,21087,47,1
14707,13397,13228,47,1
13664,14218,14506,21,1
20632,21987,21651,42,1
16260,16977,17143,32,1
19581,20875,21347,42,-1
16228,16855,17039,47,1
16216,15752,14641,32,-1
15502,15423,14943,42,1
25014,26049,24700,47,1
19372,18311,18357,27,-1
23009,23093,23852,37,-1
12653,14157,14384,32,1
20056,19602,19122,42,1
17344,16460,17322,32,-1
14385,14822,14558,21,-1
18065,17865,18533,42,1
22198,22182,21683,27,1
11643,11014,11194,36,1
15702,16699,15218,37,-1
20119,19017,20944,52,1
26584,26115,25714,52,-1
17292,16813,16380,32,1
13509,13956,13367,42,1
21785,22398,20856,36,1
13574,14065,14814,21,1
18695,17849,19134,37,1
19129,19303,18378,37,1
20174,19261,18965,41,1
18392,18938,17899,46,-1
14242,15087,15808,46,1
20376,19740,19988,42,1
18375,18239,17415,62,1
14879,14903,17002,38,-1
13288,13755,13369,21,1
17514,17615,18895,37,1
14922,14075,14043,21,1
17211,14645,19890,49,1
12982,14061,12778,21,-1
20942,20996,20240,34,1
15395,16049,15125,27,1
21490,22254,20607,42,1
13376,13430,14768,42,1
23177,22593,24302,47,-1
22300,22634,22166,27,1
16710,15481,16622,40,1
15602,15886,15475,52,-1
16656,17311,16068,27,1
15044,16504,16238,43,-1
21992,22803,22839,21,1
15108,16050,17568,52,-1
18234,16337,18555,39,1
18916,18765,19996,21,1
21021,22572,21250,42,1
18414,16785,17789,32,1
15215,17396,17624,50,-1
16492,15957,16922,32,1
20060,18548,17574,38,1
19916,19780,20051,47,1
16733,18123,16404,27,1
10514,11344,11331,21,1
22181,22349,22706,27,-1
16913,17290,17338,42,1
16374,15904,15142,21,1
15386,16357,16678,44,-1
14648,13733,15580,27,-1
17539,17529,18003,32,1
18613,17839,19414,42,1
11716,14534,11645,51,1
21433,21308,21998,52,-1
18425,18413,17132,47,1
15261,15281,15458,37,1
12346,13274,13722,27,1
14910,17667,14931,45,1
14477,13868,13207,34,1
14531,14031,14912,19,1
17490,19117,18448,52,1
11394,11229,11295,37,1
16184,15540,15440,32,1
17780,18787,17210,21,1
16834,14957,14849,35,-1
13388,12027,12941,42,1
15915,15288,16810,57,1
16489,15001,14586,47,1
16556,15704,14870,37,1
17370,18574,19105,53,-1
17084,16201,17009,54,1
17286,17967,17598,37,1
16963,16988,17925,37,1
15715,15819,16401,37,1
22822,22550,22725,42,1
10615,10409,10621,42,1
15686,17512,18148,40,1
17563,17269,18490,37,1
12472,16880,13961,43,1
15723,15133,16477,37,1
21536,21139,21306,42,1
18064,18268,17421,21,1
14252,14384,16226,41,1
11792,12270,11173,42,1
14960,14124,14976,32,1
13055,13510,13907,37,-1
17689,17659,18697,27,1
23637,20674,20237,23,-1
14814,14074,14091,45,1
17463,18029,16840,37,1
18145,18021,17698,32,1
17371,16661,15830,27,1
14008,15013,14690,32,1
19380,19112,19331,57,-1
19021,15699,16681,56,1
24245,23435,23696,32,1
16231,14691,14784,36,1
18801,19095,19077,47,1
21354,21638,22571,32,1
13056,13045,13711,44,-1
11845,11500,13053,61,1
11388,12387,10762,47,1
14183,13951,14019,42,-1
17998,17845,17216,32,-1
21792,22467,21609,52,1
16339,16170,16858,36,1
20901,20943,20728,37,1
15647,15750,14625,44,1
15616,15984,18689,46,-1
22140,22737,23580,42,1
13887,12598,14056,47,1
13644,14920,17786,60,1
14953,15273,15949,47,1
15234,15248,14893,57,1
18016,17754,18642,17,-1
15566,15494,14747,47,1
14955,14328,14425,47,1
12546,13688,13258,21,1
13040,13023,11926,37,1
10901,10955,11398,33,1
15266,15891,15368,32,-1
12928,12183,12791,37,1
10844,11569,12113,26,1
14564,15655,13454,56,1
16107,15657,15893,37,1
13284,13364,11977,37,1
20643,21579,21731,32,-1
13527,13543,13007,32,1
10169,10064,9770,32,1
19299,20032,18425,32,1
15132,16171,15712,32,-1
17985,18249,18400,47,1
11750,12533,12660,47,1
15305,16579,16522,54,1
13696,13359,13465,21,1
16426,15703,16401,37,1
15418,15469,14905,37,1
16578,15407,15804,27,1
15794,15884,16156,21,1
18490,16993,16598,37,-1
18196,18051,14622,39,-1
17940,18361,17103,21,1
18971,18019,17695,52,1
14706,13117,14153,36,1
15672,15448,16431,34,-1
22829,22179,22134,47,-1
13531,14823,14038,42,-1
19204,18558,18953,21,1
19157,17963,17534,42,1
14771,14954,14462,37,1
18402,18004,18679,21,1
19617,19502,18646,21,1
18567,17346,17461,46,1
15452,15784,15098,29,1
12877,12019,12522,42,1
16061,16208,13793,53,1
16454,16308,17292,32,1
12560,12630,11726,56,1
15323,14648,14169,32,1
12969,13158,14284,57,1
15081,14720,15970,37,1
15104,14142,13902,23,1
21061,20840,21152,42,1
15664,15009,15216,34,-1
17016,16300,16224,37,-1
23422,23261,24496,27,1
15744,15138,15350,27,1
19562,18828,19027,52,-1
15401,15460,15131,47,1
18623,17899,17283,21,1
20021,20314,19780,37,1
12861,14220,13414,46,1
12432,13705,13854,21,1
12209,13018,13302,32,1
23153,22616,22136,52,-1
14751,14104,13832,44,1
22649,22766,22068,42,1
15807,18063,18538,52,1
12271,15917,14665,45,1
13422,13720,13156,42,1
15432,14376,14411,52,1
18831,17920,18686,42,1
11917,11651,11139,44,1
14714,13992,13818,56,1
13252,17008,14666,45,1
15033,15062,15642,32,1
18339,16783,16985,47,1
17193,16505,17580,46,-1
16309,15850,16545,47,-1
16232,15194,15591,42,1
15208,15637,15571,21,-1
15119,15974,14679,42,1
13413,13421,13351,57,1
15545,15946,14917,47,1
12891,13036,12370,27,1
21481,21542,22361,27,1
11466,10895,12290,37,1
14545,14954,15632,32,1
15559,14407,14868,34,1
14485,13862,13638,36,1
14515,13488,14992,21,1
16556,15610,16665,52,1
13616,13320,14633,46,1
15352,15864,15352,52,1
12981,13865,13198,42,1
14143,14100,13707,37,1
13608,14618,14225,52,1
12335,13182,12271,37,1
13642,13365,13252,38,1
19740,17124,17101,40,1
