Participant Id,Gender,Age,TimeOfCompletion
0.0,M,52.0,14024.0
1.0,M,42.0,21600.0
1.0,M,37.0,21600.0
1.0,M,37.0,11866.0
1.0,M,34.5,11324.7857
1.0,M,37.0,21600.0
1.0,M,34.5,13584.7577
1.0,M,37.0,12506.1347
2.0,M,44.5,11362.3202
2.0,M,42.0,11986.0
2.0,M,42.0,11509.0
2.0,M,42.0,12800.0
2.0,M,42.0,12219.0
3.0,M,16.0,15360.0
4.0,F,32.0,17396.0
6.0,F,27.0,15369.0
7.0,M,34.5,21600.0
7.0,M,32.0,15423.0
8.0,F,32.0,21660.0
9.0,F,37.0,17951.0
10.0,M,37.0,15891.0
11.0,M,32.0,12171.0
11.0,M,37.0,21600.0
12.0,M,47.0,18248.0
13.0,M,52.0,15291.0
14.0,F,27.0,18147.0
15.0,M,47.0,12154.0
16.0,F,32.0,14108.0
17.0,M,34.5,14327.5457
17.0,M,34.5,14604.1157
17.0,M,37.0,16387.9922
17.0,M,34.5,15234.3002
17.0,M,37.0,21600.0
17.0,M,37.0,16907.5487
17.0,M,34.5,16787.0432
17.0,M,37.0,16574.0
18.0,M,24.5,15115.7702
18.0,F,27.0,14888.5877
18.0,F,27.0,16148.9567
18.0,F,37.0,18924.5342
18.0,F,27.0,15244.0
18.0,F,27.0,21600.0
20.0,M,42.0,20917.0
21.0,M,52.0,16367.0
22.0,F,27.0,14669.0
22.0,F,24.5,13007.9117
22.0,F,27.0,21600.0
23.0,F,37.0,21413.0
23.0,F,37.0,15819.0482
23.0,F,34.5,15627.4247
24.0,M,42.0,15895.0
25.0,F,52.0,17360.0
26.0,M,47.0,20803.0
27.0,M,47.0,13884.0
28.0,M,42.0,12640.0
29.0,M,47.0,16082.0
30.0,F,32.0,23989.7162
31.0,M,21.0,12759.0
33.0,M,42.0,23482.0
34.0,M,37.0,14529.0
34.0,M,37.0,21600.0
34.0,M,37.0,13874.0
34.0,M,37.0,12966.4262
34.0,M,37.0,12875.5532
34.0,M,37.0,21600.0
34.0,M,37.0,12863.7002
35.0,M,42.0,21982.6082
36.0,M,42.0,21600.0
37.0,M,32.0,17176.0
38.0,M,42.0,14679.1847
39.0,F,42.0,20691.0
40.0,M,32.0,12648.3707
40.0,M,32.0,21600.0
40.0,M,32.0,21600.0
40.0,M,32.0,13372.0
40.0,M,32.0,21600.0
41.0,M,32.0,15890.0
42.0,M,42.0,16010.0
43.0,M,27.0,13555.0
44.0,M,47.0,17733.0
45.0,M,47.0,15693.0
46.0,F,52.0,15706.4447
46.0,F,52.0,15157.2557
46.0,F,52.0,21600.0
46.0,F,52.0,21600.0
46.0,F,52.0,16465.0
46.0,F,52.0,21600.0
46.0,F,52.0,21600.0
47.0,F,32.0,15501.0
48.0,M,62.0,15810.0
49.0,M,42.0,16264.0
50.0,M,47.0,24831.0
51.0,F,27.0,19195.0
52.0,M,27.0,11663.0
52.0,M,27.0,11840.3912
53.0,M,32.0,14845.1267
53.0,M,32.0,14691.0377
53.0,M,32.0,21600.0
53.0,M,32.0,15416.0
53.0,M,32.0,21600.0
53.0,M,32.0,13244.9717
53.0,M,32.0,12205.8587
54.0,F,37.0,23653.0
55.0,F,32.0,24623.0
56.0,M,27.0,12347.0
57.0,M,32.0,13555.0
58.0,F,27.0,16371.0
59.0,M,24.5,13280.5307
59.0,M,27.0,15003.0
60.0,M,32.0,13564.0
61.0,M,27.0,13871.2052
61.0,M,27.0,13625.0
61.0,M,27.0,13747.0
62.0,M,42.0,19353.0
63.0,F,32.0,17404.0
64.0,M,37.0,13690.0
64.0,M,37.0,12122.8877
65.0,M,47.0,13594.6352
65.0,M,47.0,13636.1207
65.0,M,47.0,13124.0
66.0,M,47.0,11785.0772
66.0,M,47.0,12815.0
66.0,M,47.0,21600.0
66.0,M,47.0,12739.0
66.0,M,47.0,13071.0
66.0,M,52.0,12897.2837
67.0,F,21.0,13942.0
68.0,M,47.0,18656.0
69.0,M,-1.0,12547.6202
69.0,M,32.0,12775.0
70.0,M,27.0,14232.7217
71.0,M,42.0,17256.0
72.0,F,37.0,18029.6327
73.0,M,42.0,13667.7287
74.0,M,27.0,21265.0
75.0,M,37.0,13533.0
75.0,M,34.5,11958.9212
76.0,F,37.0,16979.0
77.0,F,52.0,13721.0672
78.0,F,37.0,16110.0
79.0,M,52.0,20291.0
80.0,F,52.0,27510.0
81.0,M,32.0,16243.7807
81.0,M,32.0,21600.0
82.0,M,52.0,17382.0
83.0,M,42.0,15674.8367
84.0,F,27.0,14228.0
84.0,F,27.0,13497.8357
85.0,M,52.0,18714.0
85.0,M,54.5,14560.6547
86.0,M,32.0,25969.0
87.0,F,34.5,18365.4677
89.0,M,32.0,16543.0
90.0,M,42.0,12882.0
91.0,M,42.0,16233.0
92.0,M,47.0,14939.9507
92.0,M,47.0,16024.5002
92.0,M,47.0,16195.0
92.0,M,44.5,16870.0142
93.0,M,54.5,21600.0
93.0,M,52.0,12046.0
94.0,F,42.0,19823.0
96.0,M,52.0,21600.0
96.0,M,52.0,17637.0
96.0,M,52.0,15360.7322
96.0,M,52.0,17741.0
96.0,M,52.0,17320.4282
97.0,M,37.0,24315.0
98.0,M,42.0,17135.0
99.0,M,37.0,20630.0
99.0,M,34.5,18196.0
100.0,F,44.5,16328.7272
100.0,F,42.0,14908.3427
100.0,F,42.0,21600.0
100.0,F,47.0,16933.2302
101.0,M,21.0,15557.0
102.0,M,47.0,17873.0
103.0,M,32.0,19471.7477
103.0,M,32.0,21600.0
103.0,M,32.0,13631.0
104.0,F,47.0,21600.0
104.0,F,44.5,14151.7262
104.0,F,47.0,15125.6477
104.0,F,47.0,18419.0
105.0,F,27.0,21767.0
105.0,F,27.0,14779.9352
105.0,F,21.0,15437.7767
106.0,F,22.0,14847.1022
106.0,F,22.0,15821.0237
106.0,F,22.0,16145.0057
106.0,F,21.0,21656.0
107.0,M,47.0,14506.0
108.0,M,27.0,13876.0
109.0,M,52.0,13912.6907
110.0,M,21.0,14736.0
111.0,F,32.0,13260.0
112.0,F,27.0,27808.3577
113.0,M,37.0,17784.0
114.0,M,44.5,13509.6887
114.0,M,42.0,13171.8782
114.0,M,47.0,21600.0
114.0,M,47.0,21600.0
114.0,M,42.0,21600.0
114.0,M,42.0,13215.3392
114.0,M,42.0,15544.0
114.0,M,44.5,12893.3327
115.0,M,37.0,19913.0
116.0,F,57.0,15338.0
117.0,M,42.0,20450.0
118.0,F,21.0,18124.4567
119.0,M,52.0,12816.2882
120.0,F,32.0,23828.0
121.0,M,32.0,15983.0
121.0,M,27.0,14485.5857
121.0,M,32.0,17970.3677
121.0,M,32.0,21600.0
122.0,M,27.0,14599.0
122.0,M,24.5,21600.0
122.0,M,24.5,13211.3882
123.0,F,47.0,16434.0
124.0,F,47.0,14871.0
125.0,M,34.5,12875.5532
125.0,M,37.0,13141.0
126.0,M,32.0,14530.0
127.0,M,57.0,15712.0
127.0,M,57.0,16794.0
128.0,F,17.5,15639.2777
128.0,F,21.0,13395.1097
128.0,F,21.0,15812.0
129.0,M,47.0,14643.0
129.0,M,47.0,21600.0
130.0,M,32.0,12437.0
131.0,M,32.0,15975.0
132.0,F,54.5,15882.2642
132.0,F,54.5,16332.6782
132.0,F,52.0,16783.0
132.0,F,52.0,21600.0
132.0,F,52.0,16879.8917
132.0,F,54.5,15694.5917
132.0,F,54.5,15475.3112
133.0,M,27.0,13991.0
134.0,M,52.0,13921.0
135.0,M,27.0,14726.5967
137.0,M,34.5,13254.8492
137.0,M,32.0,15216.5207
137.0,M,34.5,27899.2307
137.0,M,37.0,15069.0
137.0,M,34.5,12851.8472
137.0,M,37.0,21600.0
137.0,M,32.0,13173.8537
137.0,M,37.0,21600.0
137.0,M,37.0,21600.0
137.0,M,37.0,21600.0
138.0,M,42.0,21384.0
139.0,M,62.0,19191.0
140.0,F,37.0,14879.0
140.0,F,37.0,21600.0
140.0,F,37.0,17002.0
140.0,F,37.0,13813.0
140.0,F,34.5,12857.7737
140.0,M,-1.0,13011.8627
140.0,F,42.0,16381.0
141.0,M,44.5,17468.5907
141.0,M,47.0,15511.0
142.0,F,37.0,18485.0
143.0,M,21.0,13760.0
144.0,M,37.0,18560.0
145.0,M,32.0,12710.0
145.0,M,32.0,12079.0
145.0,M,32.0,21600.0
145.0,M,32.0,12737.2682
145.0,M,32.0,17679.0
146.0,M,27.0,15273.8102
147.0,M,21.0,14753.0
148.0,M,47.0,14645.6012
148.0,M,52.0,17874.0
148.0,M,47.0,19890.5537
149.0,M,42.0,10743.0
150.0,M,52.0,20046.6182
151.0,M,21.0,14884.6367
152.0,F,21.0,12778.7537
152.0,F,21.0,13116.0
153.0,M,44.5,21600.0
153.0,M,47.0,20422.0
154.0,M,34.5,15688.6652
154.0,M,32.0,21650.0
155.0,M,27.0,15521.0
156.0,F,42.0,18967.9952
157.0,M,47.0,13176.0
157.0,M,47.0,21600.0
157.0,M,47.0,12379.7027
157.0,M,47.0,11994.0
157.0,M,44.5,12310.5602
157.0,M,47.0,11346.5162
158.0,M,32.0,23134.3247
159.0,M,27.0,21364.0
160.0,M,32.0,8323.0
161.0,F,27.0,14970.0
162.0,F,32.0,16290.0
162.0,F,37.0,16643.0
162.0,F,34.5,17889.3722
162.0,F,34.5,15256.0307
162.0,F,37.0,21832.4702
163.0,M,42.0,21600.0
164.0,M,52.0,17393.5217
165.0,M,32.0,16424.0
166.0,M,42.0,14532.0
167.0,F,62.0,23355.0
168.0,M,44.5,20394.3062
168.0,M,42.0,16351.0
169.0,M,27.0,13593.0
170.0,M,27.0,14269.0
170.0,M,32.0,14760.1802
170.0,M,34.5,13361.5262
171.0,M,52.0,15335.0
171.0,M,52.0,13786.2587
171.0,M,52.0,15694.5917
172.0,M,37.0,10675.0
172.0,M,34.5,11251.6922
172.0,M,34.5,13205.4617
172.0,M,32.0,12292.7807
172.0,M,37.0,10568.1692
172.0,M,37.0,10769.6702
173.0,M,42.0,17448.0
174.0,F,47.0,24045.0
175.0,M,27.0,23328.0
176.0,M,42.0,14565.0
176.0,M,37.0,16622.0
178.0,M,32.0,19714.7342
180.0,M,32.0,14734.4987
181.0,M,44.5,13327.9427
181.0,M,-1.0,14809.5677
181.0,M,44.5,14047.0247
181.0,M,47.0,17386.0
182.0,F,52.0,14905.0
183.0,M,67.0,20160.0
184.0,M,27.0,16369.0
185.0,F,44.5,15192.8147
185.0,F,44.5,15885.0
185.0,F,42.0,17713.0
185.0,F,42.0,15044.0
186.0,M,37.0,21600.0
186.0,M,37.0,13464.0
186.0,M,37.0,16253.6582
187.0,M,44.5,15730.1507
187.0,M,44.5,16168.7117
187.0,M,47.0,21600.0
188.0,M,21.0,22544.0
189.0,M,57.0,15108.0
189.0,M,57.0,21600.0
189.0,M,54.5,14674.0
189.0,M,-1.0,14450.0267
189.0,M,57.0,13478.0807
189.0,M,57.0,21600.0
190.0,F,34.5,12162.3977
190.0,F,32.0,13643.0
191.0,M,42.0,20837.0
192.0,M,42.0,17554.0
192.0,M,42.0,21600.0
193.0,M,34.5,16337.0
193.0,M,42.0,19333.0
194.0,M,27.0,13983.0
194.0,M,24.5,11706.0572
195.0,M,21.0,19058.0
196.0,M,42.0,18247.0
197.0,M,37.0,21600.0
197.0,M,37.0,14827.3472
197.0,M,37.0,14612.0
197.0,M,37.0,13877.1317
197.0,M,37.0,14890.0
197.0,M,37.0,21600.0
198.0,F,44.5,16332.6782
198.0,F,42.0,20414.0612
198.0,F,42.0,21600.0
198.0,F,42.0,20042.6672
198.0,F,37.0,14959.7057
198.0,F,42.0,14639.6747
199.0,F,47.0,15578.0
200.0,M,42.0,16549.9832
202.0,M,54.5,14473.7327
202.0,M,54.5,13675.6307
202.0,M,54.5,13833.6707
202.0,M,52.0,18559.0
202.0,M,54.5,15352.8302
202.0,M,52.0,15321.0
202.0,M,54.5,14452.0022
202.0,M,52.0,14534.0
202.0,M,57.0,21600.0
202.0,M,54.5,14214.9422
202.0,M,54.5,15526.6742
203.0,M,24.5,13053.3482
203.0,M,24.5,13600.5617
204.0,M,42.0,22041.0
205.0,M,47.0,21600.0
205.0,M,42.0,11813.0
205.0,M,42.0,11204.0
205.0,M,42.0,21600.0
206.0,F,54.5,15724.0
206.0,F,52.0,14256.0
207.0,M,44.5,12887.4062
207.0,M,42.0,21600.0
207.0,M,44.5,21600.0
207.0,M,44.5,14898.4652
207.0,M,47.0,13550.0
207.0,M,42.0,21600.0
207.0,M,47.0,21600.0
207.0,M,47.0,21600.0
207.0,M,47.0,21600.0
207.0,M,44.5,13616.3657
207.0,M,42.0,16001.0
208.0,M,37.0,12383.6537
208.0,M,37.0,15655.0
209.0,F,42.0,25329.1052
210.0,F,34.5,14236.6727
210.0,F,37.0,15216.0
211.0,F,21.0,22861.7057
212.0,M,44.5,13802.0627
212.0,M,44.5,15184.9127
212.0,M,42.0,14436.0
212.0,M,42.0,13399.0607
213.0,M,32.0,17537.0
214.0,F,22.0,21600.0
214.0,F,21.0,14295.9377
214.0,F,27.0,15295.0
215.0,F,47.0,15215.0
215.0,F,52.0,19869.0
216.0,M,21.0,22830.0
217.0,M,32.0,17855.7887
217.0,M,34.5,15988.9412
217.0,M,32.0,19699.0
217.0,M,32.0,15957.3332
218.0,F,37.0,20255.0
219.0,F,37.0,15171.0842
220.0,F,27.0,18619.0
221.0,M,37.0,18548.0
221.0,M,37.0,20774.0
221.0,M,42.0,22886.0
221.0,M,34.5,14374.9577
222.0,M,37.0,16959.0
222.0,M,37.0,15487.1642
223.0,M,32.0,11663.0
224.0,M,42.0,10736.0867
224.0,M,42.0,16822.0
225.0,F,47.0,16667.0
226.0,M,47.0,19693.0
227.0,F,37.0,16008.6962
227.0,F,34.5,16220.0747
228.0,M,27.0,14267.0
228.0,M,27.0,21600.0
229.0,M,37.0,15467.4092
229.0,M,34.5,14963.6567
229.0,M,37.0,19549.0
230.0,M,27.0,17315.0
231.0,M,21.0,13620.0
232.0,M,21.0,11660.0
233.0,M,42.0,16791.0
234.0,M,16.0,18302.0
235.0,F,27.0,22415.0
236.0,F,54.5,14932.0487
236.0,F,52.0,18398.0
236.0,F,52.0,16161.0
236.0,F,52.0,19920.1862
237.0,M,47.0,22043.8487
237.0,M,47.0,21600.0
237.0,M,47.0,17029.0
238.0,M,52.0,18098.0
239.0,M,42.0,17883.0
240.0,F,37.0,14345.0
240.0,F,34.5,13916.6417
241.0,M,32.0,16019.0
242.0,M,52.0,16611.0
243.0,M,52.0,12913.0
244.0,M,37.0,17074.0
245.0,M,21.0,15879.0
246.0,F,27.0,14335.0
247.0,M,37.0,13057.2992
247.0,M,37.0,12039.9167
247.0,M,37.0,12705.6602
247.0,M,37.0,14345.0
247.0,M,37.0,21600.0
