,PARTICIPANT ID,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY
0,0,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:53:44,M50-54
1,1,2016-08-21,Ironman 70.3 Timberman,Individual,04:59:33,M40-44
2,2,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:11:49,M40-44
3,3,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:16:00,M15-17
4,4,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:49:56,F30-34
5,5,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,1 km - P'tit Marathon,00:04:59,M13+
6,6,2013-09-22,Marathon Oasis de Montreal,Marathon,04:16:09,F25-29
7,7,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:17:03,M30-34
8,8,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:01:00,F30-34
9,9,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:59:11,F35-39
10,10,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:51,M35-39
11,11,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Half Marathon,-1,M35-39
12,12,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:04:08,M45-49
13,13,2013-09-22,Marathon Oasis de Montreal,Marathon,04:14:51,M50-54
14,14,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:02:27,F25-29
15,15,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:22:34,M45-49
16,16,2013-09-22,Marathon Oasis de Montreal,Marathon,03:55:08,F30-34
17,17,2014-08-24,Demi-marathon Bonneville de Lachine,Demi-Marathon,01:57:50,M30-39
18,18,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:34:17,F35-39
19,19,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,01:52:28,F40-44
20,20,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:48:37,M40-44
21,21,2013-09-22,Marathon Oasis de Montreal,Marathon,04:32:47,M50-54
22,22,2014-05-25,Tamarack Ottawa Race Weekend,Scotiabank Ottawa Marathon,-1,F25-29
23,23,2015-11-08,DEMI-MARATHON DES MICROBRASSERIES,10 KM,01:11:43,F30-39
24,24,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:55,M40-44
25,25,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:49:20,F50-54
26,26,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:46:43,M45-49
27,27,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:51:24,M45-49
28,28,2012-09-23,Marathon Oasis de Montreal,Marathon,03:30:40,M40-44
29,29,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:28:02,M45-49
30,30,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:17:01,F30-34
31,31,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:32:39,M18-24
32,32,2016-08-17,Le 5km Endurance,5 KM,00:23:00,F50-59
33,33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:31:22,M40-44
34,34,2015-10-18,Scotiabank Toronto Waterfront Marathon,Half Marathon,-1,M35-39
35,35,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:00:05,M40-44
36,36,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M40-44
37,37,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:46:16,M30-34
38,38,2016-05-01,Défi course et marche Desjardins Sainte Thérèse,10 KM,01:05:46,M40-49
39,39,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:44:51,F40-44
40,40,2016-07-10,Ironman 70.3 Muskoka,Overall,05:24:59,M30-34
41,41,2012-09-23,Marathon Oasis de Montreal,Marathon,04:24:50,M30-34
42,42,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:26:50,M40-44
43,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:45:55,M25-29
44,44,2013-09-22,Marathon Oasis de Montreal,Marathon,04:55:33,M45-49
45,45,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:21:33,M45-49
