PARTICIPANT ID,GENDER,TOTAL_EVENTS,THERE15,THERE14,THERE13,THERE12,AVGTIME
0,0,1,1,0,0,0,14024.0
1,0,15,0,0,1,0,11866.0
2,0,5,1,1,1,1,12128.5
3,0,1,1,0,0,0,15360.0
4,1,1,0,1,0,0,17396.0
5,0,1,0,0,0,0,21600.0
6,1,1,0,0,1,0,15369.0
7,0,2,1,0,0,0,15423.0
8,1,1,1,0,0,0,21660.0
9,1,1,1,0,0,0,17951.0
10,0,1,1,0,0,0,15891.0
11,0,4,0,0,0,1,12171.0
12,0,1,0,1,0,0,18248.0
13,0,1,0,0,1,0,15291.0
14,1,1,0,1,0,0,18147.0
15,0,1,1,0,0,0,12154.0
16,1,1,0,0,1,0,14108.0
17,0,9,0,0,0,1,16574.0
18,0,8,0,0,1,0,15244.0
19,1,1,0,0,0,0,21600.0
20,0,1,1,0,0,0,20917.0
21,0,1,0,0,1,0,16367.0
22,1,3,0,0,1,0,14669.0
23,1,5,0,1,0,0,21413.0
24,0,1,1,0,0,0,15895.0
25,1,6,1,0,0,0,17360.0
26,0,1,1,0,0,0,20803.0
27,0,1,1,0,0,0,13884.0
28,0,1,0,0,0,1,12640.0
29,0,1,0,1,0,0,16082.0
30,1,1,0,0,0,0,21600.0
31,0,1,1,0,0,0,12759.0
32,1,2,0,0,0,0,21600.0
33,0,1,0,1,0,0,23482.0
34,0,8,0,1,0,0,14201.5
35,0,1,0,0,0,0,21600.0
36,0,1,1,0,0,0,21600.0
37,0,1,1,0,0,0,17176.0
38,0,4,0,0,0,0,21600.0
39,1,1,1,0,0,0,20691.0
40,0,15,0,0,1,0,13372.0
41,0,1,0,0,0,1,15890.0
42,0,1,0,1,0,0,16010.0
43,0,2,0,1,0,0,13555.0
44,0,1,0,0,1,0,17733.0
45,0,1,1,0,0,0,15693.0
46,1,20,0,0,1,0,16465.0
47,1,1,1,0,0,0,15501.0
48,0,5,0,1,0,0,15810.0
49,0,1,1,0,0,0,16264.0
50,0,1,1,0,0,0,24831.0
51,1,1,1,0,0,0,19195.0
52,0,5,0,0,0,1,11663.0
53,0,8,0,0,1,0,15416.0
54,1,1,1,0,0,0,23653.0
55,1,1,0,1,0,0,24623.0
56,0,3,0,0,1,0,12347.0
57,0,1,1,0,0,0,13555.0
58,1,1,0,1,0,0,16371.0
59,0,2,0,1,0,0,15003.0
60,0,1,0,0,0,1,13564.0
61,0,3,0,1,1,0,13686.0
62,0,1,1,0,0,0,19353.0
63,1,1,1,0,0,0,17404.0
64,0,3,0,0,0,1,13690.0
65,0,5,0,1,0,0,13124.0
66,0,9,0,1,1,1,12875.0
67,1,1,1,0,0,0,13942.0
68,0,1,0,0,1,0,18656.0
69,0,2,0,0,0,1,12775.0
70,0,1,0,0,0,0,21600.0
71,0,1,1,0,0,0,17256.0
72,1,2,0,0,0,0,21600.0
73,0,1,0,0,0,0,21600.0
74,0,1,1,0,0,0,21265.0
75,0,2,1,0,0,0,13533.0
76,1,2,0,1,0,0,16979.0
77,1,2,0,0,0,0,21600.0
78,1,1,1,0,0,0,16110.0
79,0,1,1,0,0,0,20291.0
80,1,1,1,0,0,0,27510.0
81,0,2,0,1,0,0,21600.0
82,0,1,0,1,0,0,17382.0
83,0,1,0,0,0,0,21600.0
84,1,5,0,0,0,1,14228.0
85,0,2,0,1,0,0,18714.0
86,0,1,0,1,0,0,25969.0
87,1,2,0,0,0,0,21600.0
88,1,1,0,0,0,0,21600.0
89,0,1,1,0,0,0,16543.0
90,0,1,1,0,0,0,12882.0
91,0,1,0,1,0,0,16233.0
92,0,5,0,0,1,0,16195.0
93,0,2,0,0,0,1,16823.0
94,1,1,0,1,0,0,19823.0
95,1,2,0,0,0,0,21600.0
96,0,7,0,0,1,0,17689.0
97,0,1,0,1,0,0,24315.0
98,0,1,0,0,0,1,17135.0
99,0,2,1,0,0,0,19413.0
100,1,4,0,0,0,0,21600.0
101,0,1,0,1,0,0,15557.0
102,0,1,0,0,1,0,17873.0
103,0,5,0,0,1,0,13631.0
104,1,7,0,1,0,0,18419.0
105,1,3,0,1,0,0,21767.0
106,1,4,0,1,0,0,21656.0
107,0,1,0,0,0,1,14506.0
108,0,1,0,1,0,0,13876.0
109,0,2,0,0,0,0,21600.0
110,0,1,1,0,0,0,14736.0
111,1,1,0,0,1,0,13260.0
112,1,1,0,0,0,0,21600.0
113,0,1,1,0,0,0,17784.0
114,0,14,0,0,0,1,15544.0
115,0,1,1,0,0,0,19913.0
116,1,1,0,0,1,0,15338.0
117,0,4,1,0,0,0,20450.0
118,1,1,0,0,0,0,21600.0
119,0,1,0,0,0,0,21600.0
120,1,3,0,1,0,0,23828.0
121,0,6,0,0,1,0,15983.0
122,0,6,0,0,1,0,14599.0
123,1,1,0,0,1,0,16434.0
124,1,2,1,0,0,0,14871.0
125,0,2,0,0,1,0,13141.0
126,0,1,0,0,1,0,14530.0
127,0,2,0,1,1,0,16253.0
128,1,3,0,0,1,0,15812.0
129,0,5,1,0,0,0,14643.0
130,0,1,0,0,0,1,12437.0
131,0,1,0,0,1,0,15975.0
132,1,16,0,0,1,0,19191.5
133,0,1,0,0,1,0,13991.0
134,0,1,0,0,1,0,13921.0
135,0,1,0,0,0,0,21600.0
136,0,1,0,0,0,0,21600.0
137,0,11,0,0,1,0,15069.0
138,0,1,1,0,0,0,21384.0
139,0,1,1,0,0,0,19191.0
140,1,9,1,1,1,1,15518.75
141,0,2,0,0,0,1,15511.0
142,1,3,0,1,0,0,18485.0
143,0,1,1,0,0,0,13760.0
144,0,1,1,0,0,0,18560.0
145,0,7,0,1,0,0,14879.0
146,0,1,0,0,0,0,21600.0
147,0,1,1,0,0,0,14753.0
148,0,3,1,0,0,0,17874.0
149,0,1,0,0,0,1,10743.0
150,0,1,0,0,0,0,21600.0
151,0,1,0,0,0,0,21600.0
152,1,2,1,0,0,0,13116.0
153,0,2,0,1,0,0,20422.0
154,0,2,1,0,0,0,21650.0
155,0,1,1,0,0,0,15521.0
156,1,2,0,0,0,0,21600.0
157,0,18,0,0,1,1,12585.0
158,0,2,0,0,0,0,21600.0
159,0,1,0,0,1,0,21364.0
160,0,1,0,0,0,1,8323.0
161,1,2,0,1,0,0,14970.0
162,1,5,0,0,1,1,16466.5
163,0,1,1,0,0,0,21600.0
164,0,1,0,0,0,0,21600.0
165,0,2,0,1,0,0,16424.0
166,0,1,1,0,0,0,14532.0
167,1,1,0,1,0,0,23355.0
168,0,3,0,0,0,1,16351.0
169,0,1,0,0,1,0,13593.0
170,0,8,0,0,0,1,14269.0
171,0,3,0,0,1,0,15335.0
172,0,16,0,0,1,0,10675.0
173,0,1,0,1,0,0,17448.0
174,1,1,1,0,0,0,24045.0
175,0,1,1,0,0,0,23328.0
176,0,2,1,1,0,0,15593.5
177,1,1,0,0,0,0,21600.0
178,0,1,0,0,0,0,21600.0
179,1,1,0,0,0,0,21600.0
180,0,1,0,0,0,0,21600.0
181,0,7,0,1,0,0,17386.0
182,1,1,1,0,0,0,14905.0
183,0,1,0,1,0,0,20160.0
184,0,1,1,0,0,0,16369.0
185,1,8,1,0,0,1,16214.0
186,0,3,0,0,0,0,13464.0
187,0,4,0,0,1,0,21600.0
188,0,1,1,0,0,0,22544.0
189,0,6,1,0,0,1,17127.3333333
190,1,4,0,1,0,0,13643.0
191,0,1,0,1,0,0,20837.0
192,0,3,0,1,0,0,17554.0
193,0,3,1,0,0,0,17835.0
194,0,4,0,0,0,1,13983.0
195,0,1,1,0,0,0,19058.0
196,0,1,0,1,0,0,18247.0
197,0,6,0,0,1,1,14751.0
198,1,6,0,0,1,0,21600.0
199,1,1,0,0,1,0,15578.0
200,0,1,0,0,0,0,21600.0
201,0,1,0,0,0,0,21600.0
202,0,11,0,1,1,1,17503.5
203,0,5,0,0,0,0,21600.0
204,0,1,1,0,0,0,22041.0
205,0,5,0,1,1,0,11508.5
206,1,2,0,0,1,0,14256.0
207,0,17,0,1,0,1,18187.75
208,0,2,0,1,0,0,15655.0
209,1,1,0,0,0,0,21600.0
210,1,2,0,0,1,0,15216.0
211,1,1,0,0,0,0,21600.0
212,0,4,0,0,0,1,14436.0
213,0,1,1,0,0,0,17537.0
214,1,3,0,0,1,0,15295.0
215,1,2,1,0,0,1,17542.0
216,0,1,0,1,0,0,22830.0
217,0,6,1,0,0,0,19699.0
218,1,1,0,1,0,0,20255.0
219,1,1,0,0,0,0,21600.0
220,1,1,0,1,0,0,18619.0
221,0,4,1,1,1,0,20736.0
222,0,2,0,0,0,1,16959.0
223,0,1,0,0,1,0,11663.0
224,0,2,0,1,0,0,16822.0
225,1,1,0,0,0,1,16667.0
226,0,1,1,0,0,0,19693.0
227,1,2,0,0,0,0,21600.0
228,0,2,0,0,1,0,14267.0
229,0,7,0,1,0,0,19549.0
230,0,1,1,0,0,0,17315.0
